Sex,Length,Diameter,Height,Whole weightShucked weight,Viscera weight,Shell weight,Rings,Age
M,0.610,0.475,0.155,1.168,0.554,0.239,0.330,10
F,0.615,0.480,0.160,1.253,0.585,0.260,0.330,8
F,0.620,0.510,0.180,1.332,0.594,0.276,0.388,11
F,0.625,0.480,0.170,1.353,0.624,0.278,0.365,10
M,0.625,0.490,0.175,1.333,0.571,0.271,0.405,10
F,0.625,0.475,0.175,1.144,0.476,0.248,0.349,10
F,0.625,0.500,0.165,1.288,0.573,0.304,0.315,9
F,0.625,0.485,0.200,1.380,0.585,0.302,0.401,9
M,0.630,0.485,0.155,1.278,0.637,0.275,0.310,8
F,0.630,0.495,0.165,1.308,0.599,0.284,0.315,11
M,0.630,0.480,0.150,1.179,0.519,0.248,0.324,8
M,0.635,0.490,0.175,1.375,0.623,0.271,0.395,11
M,0.635,0.525,0.185,1.407,0.684,0.300,0.375,10
M,0.640,0.505,0.155,1.403,0.705,0.266,0.335,10
F,0.640,0.500,0.170,1.518,0.693,0.326,0.409,11
F,0.640,0.500,0.175,1.394,0.494,0.291,0.400,10
F,0.645,0.500,0.155,1.221,0.615,0.236,0.319,10
M,0.645,0.520,0.175,1.636,0.779,0.342,0.432,11
M,0.645,0.520,0.175,1.561,0.709,0.356,0.400,8
F,0.645,0.505,0.165,1.433,0.684,0.308,0.336,8
M,0.645,0.500,0.175,1.339,0.633,0.299,0.349,11
F,0.645,0.500,0.160,1.247,0.548,0.327,0.300,10
F,0.645,0.515,0.150,1.212,0.515,0.206,0.385,10
M,0.650,0.495,0.160,1.304,0.570,0.312,0.373,9
M,0.650,0.520,0.210,1.679,0.667,0.308,0.460,11
M,0.650,0.525,0.185,1.622,0.665,0.323,0.477,10
F,0.655,0.460,0.160,1.494,0.690,0.331,0.183,9
F,0.655,0.510,0.175,1.653,0.852,0.337,0.403,10
F,0.660,0.505,0.185,1.528,0.690,0.303,0.441,11
M,0.660,0.535,0.190,1.591,0.643,0.297,0.518,9
M,0.660,0.495,0.195,1.628,0.594,0.360,0.485,10
F,0.660,0.475,0.180,1.370,0.641,0.294,0.335,6
M,0.670,0.525,0.165,1.609,0.682,0.315,0.401,11
F,0.675,0.570,0.225,1.587,0.739,0.300,0.435,10
F,0.675,0.565,0.195,1.838,0.765,0.362,0.553,12
M,0.680,0.535,0.185,1.607,0.725,0.322,0.498,12
M,0.690,0.525,0.175,1.701,0.826,0.362,0.405,8
M,0.690,0.505,0.200,1.872,0.893,0.402,0.480,10
F,0.695,0.535,0.175,1.839,0.804,0.396,0.503,10
F,0.705,0.535,0.180,1.685,0.693,0.420,0.405,12
M,0.710,0.565,0.205,2.198,1.012,0.523,0.548,11
M,0.715,0.565,0.175,1.953,0.765,0.419,0.414,10
F,0.715,0.525,0.185,1.560,0.666,0.383,0.405,11
F,0.735,0.600,0.220,2.555,1.134,0.440,0.600,11
M,0.765,0.600,0.220,2.302,1.007,0.509,0.621,12
I,0.185,0.130,0.045,0.029,0.012,0.008,0.010,4
I,0.195,0.150,0.045,0.038,0.018,0.006,0.011,3
I,0.195,0.135,0.040,0.033,0.014,0.005,0.010,4
I,0.200,0.155,0.040,0.044,0.016,0.009,0.007,4
I,0.225,0.165,0.055,0.059,0.027,0.013,0.015,4
I,0.245,0.180,0.065,0.071,0.030,0.013,0.022,4
I,0.250,0.180,0.065,0.069,0.025,0.016,0.023,5
I,0.265,0.195,0.055,0.084,0.037,0.018,0.025,7
I,0.275,0.195,0.065,0.106,0.054,0.020,0.028,6
I,0.280,0.210,0.085,0.108,0.042,0.024,0.034,5
I,0.285,0.220,0.065,0.096,0.041,0.021,0.030,5
I,0.300,0.220,0.080,0.126,0.055,0.027,0.039,6
I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
I,0.320,0.225,0.085,0.142,0.068,0.030,0.041,6
I,0.340,0.265,0.080,0.202,0.090,0.048,0.055,5
I,0.370,0.280,0.100,0.221,0.117,0.027,0.064,6
I,0.375,0.280,0.080,0.235,0.113,0.046,0.067,6
I,0.375,0.275,0.100,0.233,0.117,0.042,0.065,6
I,0.385,0.290,0.080,0.249,0.122,0.050,0.065,7
I,0.400,0.320,0.095,0.348,0.194,0.053,0.087,6
I,0.405,0.300,0.110,0.320,0.172,0.044,0.093,7
I,0.410,0.300,0.100,0.282,0.126,0.057,0.088,7
I,0.410,0.325,0.100,0.325,0.132,0.072,0.106,6
I,0.420,0.300,0.105,0.316,0.126,0.070,0.104,7
I,0.420,0.320,0.110,0.363,0.174,0.064,0.105,7
I,0.420,0.310,0.095,0.279,0.126,0.051,0.088,6
I,0.425,0.325,0.115,0.369,0.162,0.087,0.105,7
M,0.430,0.335,0.120,0.397,0.199,0.087,0.104,7
I,0.435,0.330,0.110,0.413,0.206,0.096,0.096,6
I,0.435,0.345,0.115,0.418,0.222,0.074,0.106,7
I,0.440,0.330,0.110,0.371,0.155,0.084,0.120,7
I,0.445,0.345,0.105,0.409,0.168,0.102,0.117,7
I,0.445,0.340,0.145,0.434,0.195,0.091,0.130,7
I,0.445,0.335,0.110,0.411,0.199,0.094,0.109,8
I,0.450,0.365,0.125,0.462,0.214,0.099,0.132,8
I,0.450,0.340,0.120,0.493,0.241,0.108,0.120,6
I,0.450,0.330,0.105,0.372,0.187,0.079,0.098,7
I,0.450,0.330,0.100,0.411,0.195,0.100,0.098,6
I,0.450,0.330,0.110,0.369,0.160,0.089,0.102,6
I,0.460,0.350,0.115,0.416,0.180,0.098,0.118,7
M,0.470,0.360,0.105,0.544,0.270,0.140,0.129,7
I,0.470,0.380,0.125,0.485,0.211,0.108,0.142,6
I,0.475,0.350,0.110,0.457,0.206,0.099,0.130,6
I,0.475,0.350,0.100,0.455,0.217,0.111,0.115,7
I,0.480,0.380,0.125,0.625,0.340,0.109,0.167,8
M,0.490,0.465,0.125,0.523,0.235,0.130,0.141,7
I,0.500,0.375,0.140,0.550,0.248,0.112,0.159,7
I,0.500,0.375,0.120,0.542,0.215,0.116,0.170,9
I,0.500,0.380,0.125,0.519,0.249,0.114,0.134,8
M,0.500,0.390,0.125,0.522,0.249,0.117,0.131,6
F,0.505,0.390,0.125,0.545,0.246,0.150,0.141,7
I,0.510,0.405,0.125,0.680,0.347,0.140,0.182,8
F,0.510,0.400,0.125,0.545,0.261,0.115,0.139,6
I,0.510,0.400,0.125,0.558,0.262,0.120,0.153,9
I,0.510,0.380,0.115,0.516,0.215,0.114,0.166,8
I,0.515,0.385,0.125,0.612,0.318,0.127,0.150,8
M,0.520,0.400,0.145,0.777,0.353,0.185,0.185,9
I,0.520,0.380,0.135,0.540,0.230,0.133,0.157,8
I,0.520,0.380,0.125,0.555,0.288,0.130,0.167,8
F,0.520,0.460,0.150,1.019,0.523,0.199,0.254,7
I,0.525,0.400,0.130,0.646,0.325,0.125,0.170,8
I,0.525,0.400,0.140,0.601,0.263,0.129,0.184,9
M,0.525,0.405,0.120,0.756,0.376,0.156,0.201,9
I,0.525,0.395,0.120,0.608,0.297,0.140,0.141,8
I,0.530,0.400,0.125,0.617,0.279,0.127,0.190,8
I,0.535,0.390,0.125,0.599,0.260,0.149,0.169,9
I,0.540,0.420,0.140,0.667,0.313,0.138,0.190,10
M,0.545,0.390,0.135,0.784,0.423,0.182,0.156,7
M,0.545,0.410,0.120,0.793,0.434,0.141,0.190,9
M,0.545,0.415,0.140,0.820,0.462,0.127,0.218,9
F,0.550,0.415,0.135,0.815,0.427,0.186,0.175,8
F,0.550,0.430,0.150,0.840,0.395,0.195,0.223,8
M,0.550,0.425,0.150,0.832,0.411,0.177,0.217,10
M,0.560,0.430,0.145,0.900,0.464,0.178,0.234,9
M,0.560,0.445,0.160,0.897,0.420,0.218,0.222,8
F,0.560,0.440,0.155,0.641,0.336,0.177,0.245,8
M,0.560,0.415,0.145,0.852,0.430,0.189,0.205,8
M,0.565,0.455,0.150,0.960,0.457,0.240,0.230,9
M,0.565,0.435,0.150,0.990,0.580,0.183,0.206,8
F,0.565,0.450,0.175,1.010,0.447,0.238,0.265,9
M,0.570,0.460,0.150,1.038,0.542,0.204,0.250,9
F,0.570,0.445,0.145,0.878,0.412,0.217,0.220,8
I,0.570,0.440,0.150,0.755,0.343,0.160,0.224,8
F,0.575,0.460,0.145,0.995,0.466,0.229,0.265,7
F,0.575,0.450,0.160,1.068,0.556,0.214,0.258,10
M,0.575,0.435,0.140,0.846,0.401,0.191,0.222,9
F,0.575,0.470,0.165,0.869,0.435,0.197,0.238,9
M,0.575,0.455,0.135,0.907,0.425,0.197,0.260,9
I,0.575,0.435,0.130,0.805,0.316,0.216,0.245,10
M,0.575,0.445,0.170,1.023,0.549,0.218,0.228,9
M,0.575,0.445,0.145,0.847,0.415,0.195,0.220,9
M,0.580,0.455,0.150,1.114,0.477,0.216,0.265,8
M,0.580,0.455,0.195,1.859,0.945,0.426,0.441,9
M,0.580,0.445,0.135,0.814,0.378,0.192,0.220,9
M,0.580,0.450,0.140,0.962,0.486,0.182,0.253,9
M,0.580,0.450,0.145,1.003,0.547,0.198,0.230,8
F,0.580,0.450,0.155,0.930,0.385,0.246,0.265,9
M,0.585,0.460,0.145,0.934,0.478,0.183,0.235,9
M,0.585,0.465,0.160,0.956,0.460,0.236,0.265,7
M,0.590,0.470,0.150,0.996,0.481,0.232,0.240,8
F,0.600,0.475,0.160,1.027,0.485,0.250,0.257,9
M,0.600,0.455,0.170,1.192,0.696,0.240,0.240,8
F,0.600,0.465,0.150,1.103,0.546,0.262,0.250,8
M,0.600,0.465,0.155,1.017,0.512,0.247,0.225,10
F,0.605,0.470,0.165,1.178,0.611,0.228,0.292,9
M,0.605,0.475,0.140,1.118,0.555,0.257,0.274,9
M,0.605,0.480,0.170,1.184,0.582,0.237,0.317,10
F,0.605,0.475,0.165,1.056,0.433,0.220,0.357,9
M,0.610,0.485,0.160,1.015,0.532,0.212,0.242,8
M,0.610,0.485,0.145,1.331,0.783,0.226,0.287,9
M,0.610,0.470,0.165,1.052,0.498,0.242,0.267,9
M,0.615,0.460,0.170,1.057,0.482,0.272,0.270,10
F,0.615,0.465,0.150,0.923,0.462,0.183,0.242,9
F,0.615,0.475,0.155,1.027,0.447,0.250,0.285,9
M,0.620,0.470,0.135,1.020,0.532,0.201,0.248,8
M,0.620,0.450,0.200,0.858,0.429,0.153,0.241,8
F,0.620,0.480,0.160,1.113,0.564,0.245,0.281,8
F,0.625,0.485,0.175,1.375,0.734,0.272,0.332,9
M,0.625,0.480,0.185,1.207,0.587,0.290,0.286,8
M,0.630,0.470,0.155,1.133,0.589,0.211,0.287,8
M,0.630,0.500,0.175,1.265,0.564,0.307,0.343,10
F,0.635,0.495,0.015,1.157,0.512,0.308,0.289,9
M,0.640,0.515,0.165,1.369,0.632,0.342,0.358,10
M,0.645,0.530,0.195,1.390,0.647,0.295,0.374,10
F,0.645,0.480,0.170,1.135,0.528,0.254,0.305,10
F,0.650,0.500,0.190,1.464,0.642,0.339,0.425,9
M,0.650,0.500,0.155,1.202,0.565,0.314,0.294,11
M,0.655,0.515,0.160,1.310,0.553,0.369,0.345,11
F,0.655,0.510,0.175,1.415,0.589,0.373,0.364,10
F,0.660,0.530,0.185,1.346,0.546,0.271,0.476,11
M,0.665,0.525,0.160,1.363,0.629,0.279,0.340,8
I,0.665,0.500,0.170,1.298,0.604,0.291,0.360,9
F,0.670,0.505,0.205,1.365,0.608,0.303,0.353,9
F,0.685,0.540,0.215,1.703,0.664,0.366,0.474,14
M,0.685,0.520,0.165,1.519,0.699,0.369,0.400,10
F,0.690,0.540,0.155,1.454,0.624,0.311,0.390,9
M,0.690,0.530,0.210,1.583,0.736,0.405,0.387,12
F,0.690,0.530,0.170,1.554,0.795,0.349,0.370,9
M,0.695,0.560,0.185,1.740,0.885,0.372,0.438,10
M,0.700,0.565,0.180,1.751,0.895,0.336,0.446,9
M,0.700,0.575,0.190,2.273,1.095,0.418,0.638,12
F,0.700,0.525,0.190,1.647,0.855,0.307,0.400,9
F,0.705,0.550,0.170,1.219,0.640,0.236,0.301,9
F,0.710,0.560,0.180,1.652,0.735,0.381,0.453,11
M,0.715,0.550,0.190,2.005,1.047,0.407,0.508,12
M,0.715,0.535,0.190,1.676,0.889,0.313,0.420,10
F,0.720,0.580,0.195,2.103,1.027,0.480,0.538,10
F,0.720,0.550,0.200,1.997,0.904,0.469,0.522,10
M,0.720,0.565,0.145,1.187,0.691,0.195,0.269,8
M,0.725,0.505,0.185,1.978,1.026,0.426,0.451,12
F,0.730,0.575,0.185,1.880,0.931,0.380,0.483,12
M,0.735,0.585,0.185,2.124,0.952,0.550,0.500,11
M,0.745,0.565,0.215,1.931,0.896,0.459,0.500,11
F,0.750,0.570,0.210,2.236,1.109,0.520,0.545,11
F,0.755,0.625,0.210,2.505,1.197,0.513,0.679,11
M,0.755,0.580,0.205,2.007,0.830,0.402,0.595,10
F,0.780,0.630,0.215,2.657,1.488,0.499,0.586,11
I,0.185,0.375,0.120,0.465,0.196,0.105,0.150,6
I,0.245,0.205,0.060,0.077,0.034,0.014,0.022,4
I,0.250,0.185,0.065,0.069,0.030,0.014,0.023,5
I,0.250,0.190,0.065,0.084,0.039,0.015,0.025,5
I,0.275,0.195,0.090,0.113,0.055,0.030,0.036,6
I,0.305,0.215,0.065,0.108,0.044,0.021,0.038,5
I,0.310,0.225,0.070,0.106,0.435,0.015,0.040,5
I,0.315,0.230,0.080,0.138,0.055,0.031,0.045,5
I,0.315,0.230,0.070,0.115,0.046,0.024,0.039,5
I,0.325,0.225,0.075,0.139,0.057,0.032,0.090,6
I,0.330,0.250,0.095,0.209,0.102,0.040,0.052,7
I,0.330,0.205,0.095,0.160,0.077,0.032,0.044,5
I,0.335,0.245,0.090,0.202,0.096,0.041,0.048,7
I,0.340,0.250,0.090,0.179,0.078,0.033,0.055,6
I,0.345,0.255,0.095,0.195,0.093,0.037,0.055,6
I,0.345,0.255,0.085,0.201,0.105,0.037,0.050,5
I,0.350,0.270,0.075,0.215,0.100,0.036,0.065,6
I,0.350,0.255,0.090,0.179,0.086,0.031,0.053,8
I,0.360,0.270,0.085,0.196,0.088,0.035,0.064,4
I,0.365,0.270,0.085,0.188,0.081,0.042,0.058,6
I,0.365,0.270,0.085,0.196,0.083,0.038,0.060,7
I,0.365,0.265,0.085,0.213,0.095,0.049,0.060,7
I,0.370,0.290,0.090,0.245,0.089,0.066,0.075,7
I,0.370,0.280,0.085,0.217,0.110,0.035,0.062,6
I,0.375,0.290,0.095,0.213,0.096,0.041,0.061,5
I,0.375,0.290,0.085,0.239,0.118,0.045,0.070,7
I,0.375,0.275,0.090,0.218,0.093,0.041,0.076,6
I,0.375,0.275,0.095,0.247,0.110,0.042,0.078,6
I,0.375,0.280,0.080,0.203,0.083,0.048,0.065,8
I,0.375,0.270,0.085,0.218,0.095,0.039,0.070,7
I,0.380,0.275,0.110,0.256,0.110,0.054,0.076,6
I,0.380,0.270,0.080,0.211,0.087,0.042,0.070,8
I,0.385,0.290,0.090,0.262,0.111,0.060,0.075,9
I,0.385,0.280,0.085,0.218,0.097,0.038,0.067,8
I,0.385,0.300,0.095,0.302,0.152,0.062,0.074,7
I,0.385,0.280,0.090,0.228,0.103,0.042,0.066,5
I,0.390,0.300,0.095,0.327,0.167,0.058,0.089,7
I,0.395,0.305,0.105,0.284,0.114,0.060,0.095,8
I,0.395,0.295,0.095,0.273,0.115,0.063,0.085,8
I,0.395,0.270,0.100,0.299,0.145,0.061,0.082,5
I,0.400,0.290,0.100,0.268,0.121,0.061,0.077,5
I,0.405,0.285,0.090,0.265,0.127,0.051,0.075,6
I,0.410,0.335,0.110,0.330,0.157,0.071,0.170,7
I,0.420,0.305,0.090,0.328,0.168,0.062,0.082,6
I,0.425,0.325,0.110,0.334,0.173,0.045,0.100,7
I,0.425,0.320,0.100,0.306,0.126,0.060,0.106,7
I,0.425,0.310,0.090,0.301,0.139,0.065,0.080,7
I,0.430,0.340,0.000,0.428,0.207,0.086,0.115,8
I,0.430,0.315,0.095,0.378,0.175,0.080,0.105,8
I,0.435,0.315,0.110,0.369,0.162,0.072,0.120,7
I,0.440,0.340,0.120,0.438,0.212,0.083,0.120,9
I,0.450,0.330,0.105,0.448,0.208,0.089,0.120,9
I,0.455,0.345,0.105,0.401,0.164,0.076,0.126,8
F,0.455,0.365,0.115,0.431,0.184,0.108,0.125,8
I,0.455,0.330,0.100,0.372,0.358,0.078,0.110,8
I,0.460,0.360,0.105,0.466,0.223,0.099,0.110,7
I,0.460,0.350,0.105,0.371,0.158,0.077,0.114,9
F,0.460,0.365,0.125,0.479,0.206,0.105,0.141,8
I,0.465,0.340,0.110,0.346,0.143,0.073,0.113,11
I,0.470,0.365,0.100,0.411,0.175,0.086,0.135,8
I,0.470,0.355,0.180,0.480,0.206,0.105,0.151,8
I,0.470,0.355,0.120,0.393,0.167,0.089,0.115,8
I,0.475,0.355,0.100,0.504,0.254,0.091,0.140,8
I,0.475,0.380,0.120,0.441,0.179,0.089,0.151,8
I,0.475,0.360,0.110,0.492,0.211,0.110,0.150,8
I,0.480,0.370,0.125,0.544,0.244,0.101,0.165,9
I,0.480,0.355,0.115,0.473,0.207,0.112,0.132,8
I,0.480,0.365,0.100,0.461,0.221,0.084,0.135,8
I,0.495,0.355,0.120,0.497,0.214,0.105,0.150,8
I,0.495,0.380,0.130,0.513,0.219,0.116,0.160,7
M,0.495,0.395,0.120,0.553,0.224,0.138,0.167,8
I,0.500,0.380,0.135,0.594,0.295,0.104,0.157,9
M,0.500,0.420,0.135,0.677,0.302,0.142,0.207,9
I,0.500,0.375,0.145,0.580,0.239,0.138,0.185,9
I,0.500,0.410,0.140,0.662,0.259,0.163,0.196,9
I,0.500,0.375,0.125,0.570,0.259,0.124,0.157,7
I,0.500,0.395,0.140,0.622,0.293,0.121,0.195,9
I,0.505,0.405,0.130,0.602,0.302,0.110,0.180,8
I,0.505,0.380,0.120,0.594,0.260,0.144,0.180,7
I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8
I,0.515,0.380,0.120,0.625,0.327,0.130,0.160,7
I,0.515,0.420,0.135,0.711,0.337,0.144,0.205,13
I,0.515,0.400,0.135,0.697,0.320,0.126,0.175,9
I,0.520,0.400,0.130,0.583,0.233,0.137,0.180,10
I,0.520,0.395,0.125,0.663,0.301,0.131,0.191,9
I,0.525,0.400,0.125,0.697,0.369,0.139,0.164,9
M,0.525,0.420,0.155,0.842,0.428,0.142,0.205,9
I,0.530,0.415,0.130,0.694,0.391,0.111,0.167,9
I,0.530,0.420,0.155,0.810,0.473,0.111,0.192,10
I,0.530,0.415,0.110,0.575,0.253,0.124,0.189,9
I,0.530,0.425,0.130,0.768,0.419,0.121,0.210,9
I,0.535,0.400,0.135,0.603,0.290,0.121,0.154,9
I,0.535,0.415,0.150,0.577,0.360,0.135,0.225,8
F,0.535,0.410,0.130,0.715,0.335,0.144,0.208,9
M,0.535,0.435,0.150,0.717,0.348,0.145,0.194,9
F,0.540,0.420,0.145,0.866,0.432,0.163,0.218,10
I,0.540,0.420,0.140,0.727,0.321,0.145,0.229,9
I,0.545,0.435,0.135,0.772,0.372,0.148,0.227,8
F,0.545,0.445,0.150,0.800,0.354,0.163,0.207,9
I,0.545,0.430,0.150,0.729,0.302,0.132,0.255,10
I,0.545,0.405,0.135,0.595,0.270,0.119,0.185,8
I,0.550,0.430,0.145,0.790,0.375,0.171,0.223,11
F,0.550,0.405,0.125,0.651,0.297,0.137,0.200,9
M,0.550,0.430,0.150,0.875,0.413,0.191,0.248,9
I,0.550,0.435,0.140,0.754,0.329,0.156,0.233,10
I,0.550,0.425,0.135,0.731,0.333,0.155,0.215,9
M,0.555,0.440,0.140,0.871,0.407,0.156,0.255,9
I,0.555,0.430,0.155,0.740,0.314,0.144,0.280,10
I,0.555,0.430,0.140,0.767,0.341,0.165,0.230,9
I,0.555,0.425,0.145,0.791,0.349,0.177,0.225,9
I,0.560,0.425,0.135,0.821,0.372,0.185,0.236,9
I,0.560,0.425,0.145,0.688,0.310,0.131,0.217,9
F,0.560,0.445,0.155,1.224,0.557,0.323,0.270,10
I,0.560,0.455,0.145,0.974,0.547,0.162,0.235,9
I,0.565,0.440,0.175,0.874,0.414,0.210,0.210,11
F,0.565,0.450,0.145,0.850,0.422,0.169,0.225,8
M,0.565,0.445,0.150,0.796,0.364,0.184,0.219,8
M,0.565,0.390,0.125,0.744,0.352,0.130,0.169,11
I,0.570,0.450,0.145,0.751,0.283,0.220,0.222,10
I,0.570,0.450,0.135,0.794,0.382,0.142,0.245,8
F,0.570,0.460,0.135,0.980,0.397,0.253,0.266,9
M,0.570,0.435,0.170,0.873,0.382,0.183,0.271,10
I,0.570,0.440,0.130,0.767,0.347,0.179,0.202,10
M,0.570,0.435,0.125,0.897,0.383,0.184,0.275,9
F,0.575,0.420,0.135,0.857,0.461,0.147,0.213,10
F,0.575,0.480,0.165,1.078,0.511,0.210,0.306,9
M,0.575,0.460,0.155,0.892,0.442,0.176,0.220,10
M,0.580,0.460,0.155,1.440,0.672,0.273,0.296,10
M,0.580,0.455,0.135,0.796,0.405,0.167,0.204,10
F,0.580,0.445,0.150,0.858,0.400,0.156,0.253,8
M,0.585,0.465,0.155,0.915,0.456,0.197,0.235,9
M,0.585,0.490,0.185,1.171,0.522,0.254,0.335,10
I,0.585,0.475,0.160,1.051,0.480,0.234,0.285,10
M,0.585,0.460,0.165,1.114,0.583,0.235,0.274,10
M,0.585,0.470,0.165,1.409,0.800,0.229,0.295,10
M,0.585,0.475,0.150,1.065,0.532,0.199,0.289,10
M,0.585,0.450,0.180,0.800,0.336,0.186,0.237,8
I,0.590,0.445,0.135,0.772,0.328,0.175,0.230,9
M,0.590,0.470,0.180,1.187,0.599,0.227,0.310,9
M,0.590,0.455,0.155,0.886,0.388,0.188,0.275,10
F,0.595,0.465,0.150,0.980,0.412,0.196,0.226,10
F,0.595,0.465,0.155,1.026,0.465,0.112,0.305,12
M,0.600,0.475,0.170,1.132,0.508,0.272,0.309,10
M,0.600,0.480,0.155,1.014,0.451,0.189,0.325,11
I,0.600,0.475,0.150,1.120,0.565,0.247,0.270,10
F,0.600,0.465,0.155,1.040,0.476,0.250,0.280,11
F,0.600,0.455,0.145,0.890,0.419,0.172,0.269,10
M,0.600,0.460,0.155,0.960,0.446,0.189,0.295,11
I,0.605,0.485,0.150,1.238,0.632,0.226,0.330,11
M,0.605,0.490,0.140,0.976,0.419,0.206,0.315,10
I,0.605,0.435,0.130,0.903,0.432,0.174,0.260,11
F,0.605,0.475,0.175,1.076,0.463,0.220,0.335,9
F,0.605,0.470,0.160,1.084,0.541,0.222,0.275,12
M,0.610,0.450,0.150,0.871,0.407,0.184,0.250,10
M,0.610,0.480,0.165,1.244,0.635,0.257,0.305,12
M,0.610,0.475,0.170,1.027,0.435,0.234,0.304,10
I,0.610,0.465,0.150,0.961,0.450,0.173,0.286,9
M,0.610,0.480,0.170,1.137,0.457,0.290,0.347,10
M,0.610,0.460,0.160,1.000,0.494,0.197,0.275,10
F,0.615,0.475,0.155,1.004,0.448,0.193,0.290,10
M,0.615,0.470,0.165,1.128,0.447,0.220,0.340,10
M,0.615,0.500,0.170,1.054,0.485,0.228,0.295,10
F,0.615,0.475,0.165,1.023,0.491,0.196,0.304,12
M,0.615,0.475,0.170,1.129,0.480,0.302,0.300,10
M,0.615,0.480,0.175,1.118,0.446,0.320,0.300,9
F,0.615,0.475,0.155,1.115,0.484,0.212,0.355,10
M,0.620,0.510,0.175,1.282,0.572,0.239,0.390,10
M,0.620,0.495,0.180,1.256,0.577,0.254,0.355,12
F,0.620,0.500,0.150,1.293,0.596,0.314,0.354,10
F,0.620,0.475,0.160,1.130,0.463,0.269,0.330,10
M,0.625,0.455,0.170,1.082,0.496,0.235,0.315,9
F,0.625,0.505,0.175,1.150,0.548,0.256,0.305,11
F,0.625,0.515,0.160,1.264,0.572,0.326,0.321,9
F,0.625,0.480,0.155,1.204,0.587,0.239,0.319,12
F,0.630,0.485,0.170,1.321,0.595,0.345,0.345,9
I,0.630,0.505,0.180,1.272,0.603,0.295,0.315,11
M,0.630,0.485,0.145,1.062,0.507,0.179,0.337,12
I,0.630,0.475,0.145,1.061,0.517,0.220,0.280,10
M,0.630,0.495,0.160,1.093,0.497,0.221,0.315,12
M,0.635,0.490,0.160,1.101,0.534,0.187,0.346,10
F,0.635,0.500,0.165,1.460,0.705,0.265,0.390,9
F,0.635,0.495,0.175,1.211,0.707,0.273,0.323,9
M,0.635,0.475,0.170,1.194,0.521,0.270,0.367,10
M,0.635,0.510,0.155,0.986,0.405,0.226,0.310,10
M,0.640,0.565,0.230,1.521,0.644,0.372,0.406,15
M,0.640,0.525,0.180,1.314,0.487,0.300,0.408,10
M,0.645,0.510,0.160,1.184,0.556,0.239,0.345,11
M,0.645,0.500,0.195,1.401,0.617,0.352,0.373,10
M,0.645,0.525,0.160,1.508,0.746,0.245,0.433,11
F,0.650,0.505,0.165,1.160,0.479,0.274,0.349,11
F,0.650,0.590,0.220,1.662,0.770,0.378,0.435,11
M,0.650,0.525,0.175,1.537,0.687,0.359,0.405,11
M,0.650,0.510,0.190,1.542,0.716,0.374,0.375,9
F,0.650,0.510,0.170,1.567,0.725,0.349,0.391,10
F,0.655,0.525,0.190,1.360,0.564,0.322,0.399,10
M,0.655,0.535,0.205,1.645,0.731,0.360,0.460,13
F,0.655,0.520,0.190,1.455,0.600,0.387,0.383,10
M,0.655,0.490,0.175,1.359,0.640,0.294,0.365,10
F,0.660,0.495,0.210,1.548,0.724,0.353,0.393,10
F,0.660,0.515,0.170,1.337,0.615,0.313,0.358,10
F,0.665,0.530,0.180,1.491,0.635,0.342,0.435,10
F,0.670,0.530,0.225,1.562,0.630,0.487,0.373,11
F,0.670,0.505,0.175,1.015,0.438,0.271,0.375,10
M,0.675,0.545,0.185,1.738,0.876,0.314,0.469,13
M,0.685,0.545,0.205,1.793,0.815,0.416,0.461,9
F,0.695,0.565,0.190,1.764,0.747,0.399,0.498,11
F,0.700,0.545,0.130,1.556,0.673,0.374,0.195,12
M,0.705,0.565,0.515,2.210,1.108,0.487,0.512,10
M,0.705,0.555,0.215,2.141,1.047,0.383,0.528,11
F,0.705,0.570,0.180,1.535,0.960,0.420,0.430,12
F,0.710,0.550,0.170,1.614,0.743,0.345,0.450,11
F,0.720,0.575,0.170,1.934,0.913,0.389,0.510,13
M,0.720,0.575,0.215,2.173,0.952,0.564,0.537,12
F,0.725,0.600,0.200,1.737,0.697,0.359,0.595,11
F,0.730,0.580,0.190,1.738,0.679,0.435,0.520,11
F,0.735,0.565,0.205,2.128,0.949,0.460,0.565,12
F,0.745,0.570,0.215,2.250,1.157,0.446,0.558,9
F,0.750,0.610,0.235,2.509,1.232,0.519,0.612,14
F,0.815,0.650,0.250,2.255,0.891,0.420,0.798,14
I,0.140,0.105,0.035,0.014,0.006,0.003,0.004,3
I,0.230,0.165,0.060,0.052,0.019,0.015,0.036,4
I,0.365,0.265,0.135,0.222,0.105,0.047,0.061,7
I,0.365,0.255,0.080,0.199,0.079,0.035,0.053,5
I,0.370,0.270,0.095,0.232,0.133,0.041,0.062,6
I,0.375,0.280,0.085,0.316,0.187,0.046,0.067,7
I,0.385,0.300,0.090,0.247,0.123,0.044,0.068,5
I,0.395,0.295,0.090,0.303,0.143,0.067,0.077,5
I,0.400,0.290,0.110,0.329,0.188,0.046,0.083,6
I,0.400,0.300,0.090,0.282,0.119,0.061,0.080,7
I,0.405,0.310,0.095,0.343,0.179,0.064,0.086,8
I,0.405,0.290,0.090,0.283,0.112,0.075,0.082,7
I,0.405,0.300,0.105,0.304,0.146,0.061,0.081,6
I,0.410,0.320,0.095,0.291,0.141,0.063,0.073,5
M,0.415,0.315,0.115,0.390,0.202,0.065,0.103,9
